Country:text,Period:text,Year:year,mg N/l:number
Spain,2000-2017,2017,2.08
Sweden,2000-2017,2000,0.56
Sweden,2000-2017,2001,0.54
Sweden,2000-2017,2002,0.51
Sweden,2000-2017,2003,0.49
Sweden,2000-2017,2004,0.52
Sweden,2000-2017,2005,0.45
Sweden,2000-2017,2006,0.53
Sweden,2000-2017,2007,0.49
Sweden,2000-2017,2008,0.47
Sweden,2000-2017,2009,0.38
Sweden,2000-2017,2010,0.45
Sweden,2000-2017,2011,0.47
Sweden,2000-2017,2012,0.44
Sweden,2000-2017,2013,0.45
Sweden,2000-2017,2014,0.46
Sweden,2000-2017,2015,0.47
Sweden,2000-2017,2016,0.47
Sweden,2000-2017,2017,0.47
Switzerland,2000-2017,2000,1.68
Switzerland,2000-2017,2001,1.7
Switzerland,2000-2017,2002,1.68
Switzerland,2000-2017,2003,1.66
Switzerland,2000-2017,2004,1.83
Switzerland,2000-2017,2005,1.9
Switzerland,2000-2017,2006,1.95
Switzerland,2000-2017,2007,1.75
Switzerland,2000-2017,2008,1.68
Switzerland,2000-2017,2009,1.65
Switzerland,2000-2017,2010,1.67
Switzerland,2000-2017,2011,1.71
Switzerland,2000-2017,2012,1.68
Switzerland,2000-2017,2013,1.68
Switzerland,2000-2017,2014,1.64
Switzerland,2000-2017,2015,1.71
Switzerland,2000-2017,2016,1.71
Switzerland,2000-2017,2017,1.71
United Kingdom,2000-2017,2000,1.66
United Kingdom,2000-2017,2001,1.63
United Kingdom,2000-2017,2002,1.82
United Kingdom,2000-2017,2003,1.76
United Kingdom,2000-2017,2004,2.24
United Kingdom,2000-2017,2005,2.36
United Kingdom,2000-2017,2006,2.46
United Kingdom,2000-2017,2007,2.33
United Kingdom,2000-2017,2008,2.06
United Kingdom,2000-2017,2009,2.19
United Kingdom,2000-2017,2010,2.23
United Kingdom,2000-2017,2011,2.18
United Kingdom,2000-2017,2012,2.02
United Kingdom,2000-2017,2013,2.09
United Kingdom,2000-2017,2014,1.98
United Kingdom,2000-2017,2015,2.0
United Kingdom,2000-2017,2016,1.99
United Kingdom,2000-2017,2017,2.01
Europe,2000-2017,2000,1.88
Europe,2000-2017,2001,1.86
Europe,2000-2017,2002,1.83
Europe,2000-2017,2003,1.76
Europe,2000-2017,2004,1.92
Europe,2000-2017,2005,1.83
Europe,2000-2017,2006,1.91
Europe,2000-2017,2007,1.85
Europe,2000-2017,2008,1.78
Europe,2000-2017,2009,1.69
Europe,2000-2017,2010,1.74
Europe,2000-2017,2011,1.62
Europe,2000-2017,2012,1.63
Europe,2000-2017,2013,1.76
Europe,2000-2017,2014,1.65
Europe,2000-2017,2015,1.62
Europe,2000-2017,2016,1.75
Europe,2000-2017,2017,1.72
